epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
68,6381.3,0.96675,0.64315,0.01534,0.84658,0.82258,0.87863,0.63644,1.15144,0.7527,0.02817,0.0200505,0.0066835,0.0200505,0.0066835,0.0200505,0.0066835,0.0200505,0.0066835
69,6484.21,0.98759,0.64771,0.01558,0.85449,0.81232,0.87274,0.62123,1.1605,0.78455,0.02802,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
70,6588.01,0.96745,0.65236,0.01523,0.83626,0.83284,0.88755,0.6382,1.13091,0.79136,0.02716,0.0197535,0.0065845,0.0197535,0.0065845,0.0197535,0.0065845,0.0197535,0.0065845
71,6692.05,0.94778,0.62857,0.01506,0.83337,0.83871,0.88521,0.63935,1.12966,0.75884,0.02721,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
72,6795.35,0.96102,0.64132,0.01518,0.87435,0.79765,0.88322,0.64069,1.14494,0.80104,0.02766,0.0194565,0.0064855,0.0194565,0.0064855,0.0194565,0.0064855,0.0194565,0.0064855
73,6898.33,0.94554,0.62389,0.01504,0.83591,0.82167,0.87943,0.63801,1.14265,0.82247,0.02752,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
74,7002.38,0.94323,0.61664,0.0149,0.85964,0.78131,0.86874,0.62162,1.16097,0.83992,0.02837,0.0191595,0.0063865,0.0191595,0.0063865,0.0191595,0.0063865,0.0191595,0.0063865
75,7105.62,0.94938,0.62009,0.01506,0.8372,0.82551,0.88766,0.64268,1.12986,0.75493,0.02742,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
76,7209.52,0.94124,0.61871,0.01463,0.84678,0.81965,0.88162,0.64369,1.10737,0.76353,0.02699,0.0188625,0.0062875,0.0188625,0.0062875,0.0188625,0.0062875,0.0188625,0.0062875
77,7313.17,0.93884,0.62204,0.01513,0.81461,0.81965,0.87832,0.6267,1.16676,0.80792,0.02827,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
78,7416.39,0.92783,0.61498,0.01448,0.84174,0.84018,0.89234,0.6399,1.1359,0.76416,0.02748,0.0185655,0.0061885,0.0185655,0.0061885,0.0185655,0.0061885,0.0185655,0.0061885
79,7519.58,0.9467,0.6225,0.01495,0.84449,0.84457,0.88157,0.63987,1.14398,0.80199,0.02755,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
80,7623.21,0.92797,0.61604,0.01461,0.85766,0.83929,0.88206,0.63518,1.14119,0.79243,0.02739,0.0182685,0.0060895,0.0182685,0.0060895,0.0182685,0.0060895,0.0182685,0.0060895
81,7726.21,0.93324,0.6101,0.01494,0.84633,0.83138,0.88834,0.64126,1.14561,0.77621,0.02764,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
82,7829.53,0.9298,0.61357,0.01457,0.84549,0.82642,0.88646,0.64428,1.12184,0.74484,0.02714,0.0179715,0.0059905,0.0179715,0.0059905,0.0179715,0.0059905,0.0179715,0.0059905
83,7933.16,0.9327,0.60187,0.01468,0.87811,0.79221,0.87834,0.64412,1.15222,0.76921,0.02793,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
84,8036.16,0.92543,0.61913,0.01468,0.8646,0.80499,0.87543,0.62952,1.16093,0.82586,0.0282,0.0176745,0.0058915,0.0176745,0.0058915,0.0176745,0.0058915,0.0176745,0.0058915
85,8139.49,0.90957,0.58316,0.01443,0.86846,0.82111,0.87987,0.63831,1.15991,0.81036,0.02799,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
86,8242.84,0.9138,0.58771,0.01433,0.89288,0.78218,0.87616,0.64117,1.14746,0.81756,0.02779,0.0173775,0.0057925,0.0173775,0.0057925,0.0173775,0.0057925,0.0173775,0.0057925
87,8346.5,0.92141,0.6111,0.01454,0.87514,0.80352,0.86967,0.63477,1.11019,0.81485,0.02667,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
88,8450,0.9166,0.60749,0.01455,0.86941,0.82972,0.88141,0.64322,1.13144,0.79414,0.02704,0.0170805,0.0056935,0.0170805,0.0056935,0.0170805,0.0056935,0.0170805,0.0056935
89,8553.53,0.92506,0.59375,0.01469,0.86618,0.80205,0.8735,0.63142,1.1405,0.82687,0.02748,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
90,8657.09,0.90268,0.60273,0.0141,0.86988,0.81232,0.88165,0.6445,1.13672,0.79755,0.02714,0.0167835,0.0055945,0.0167835,0.0055945,0.0167835,0.0055945,0.0167835,0.0055945
91,8761.14,0.914,0.59236,0.01448,0.8528,0.82991,0.87431,0.64174,1.13108,0.82623,0.02717,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
92,8864.45,0.89799,0.57793,0.01409,0.83826,0.84311,0.87624,0.64311,1.12045,0.82536,0.02672,0.0164865,0.0054955,0.0164865,0.0054955,0.0164865,0.0054955,0.0164865,0.0054955
93,8967.98,0.8808,0.58243,0.0139,0.87708,0.82405,0.88501,0.64212,1.15015,0.79687,0.02762,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
94,9071.43,0.87691,0.56096,0.01393,0.88976,0.81085,0.88372,0.64368,1.15832,0.76959,0.02789,0.0161895,0.0053965,0.0161895,0.0053965,0.0161895,0.0053965,0.0161895,0.0053965
95,9176.06,0.89436,0.56703,0.01396,0.87643,0.81116,0.8716,0.63541,1.15841,0.8133,0.0281,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
96,9279.47,0.89252,0.5767,0.01387,0.86812,0.83005,0.88852,0.64931,1.13947,0.80253,0.02744,0.0158925,0.0052975,0.0158925,0.0052975,0.0158925,0.0052975,0.0158925,0.0052975
97,9382.88,0.87773,0.57812,0.01387,0.87646,0.80938,0.87984,0.64138,1.1518,0.79731,0.02789,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
98,9486.71,0.86988,0.57452,0.01352,0.85974,0.82698,0.87804,0.64095,1.13864,0.80728,0.02749,0.0155955,0.0051985,0.0155955,0.0051985,0.0155955,0.0051985,0.0155955,0.0051985
99,9590.16,0.87287,0.56901,0.01382,0.85952,0.81525,0.87854,0.6378,1.13797,0.82627,0.02737,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
100,9693.62,0.87026,0.55881,0.01361,0.87292,0.82551,0.88537,0.64368,1.12975,0.76418,0.02714,0.0152985,0.0050995,0.0152985,0.0050995,0.0152985,0.0050995,0.0152985,0.0050995
101,9796.46,0.87494,0.56632,0.01389,0.89263,0.80452,0.88259,0.63903,1.14715,0.78252,0.02774,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
102,9899.48,0.8613,0.54646,0.01314,0.8712,0.82318,0.88947,0.64083,1.16074,0.77155,0.02807,0.0150015,0.0050005,0.0150015,0.0050005,0.0150015,0.0050005,0.0150015,0.0050005
103,10002.7,0.85787,0.54438,0.01354,0.88492,0.81232,0.88539,0.64533,1.15014,0.79306,0.02779,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
104,10105.7,0.85863,0.54412,0.01317,0.88129,0.79179,0.87381,0.63314,1.16143,0.81572,0.02802,0.0147045,0.0049015,0.0147045,0.0049015,0.0147045,0.0049015,0.0147045,0.0049015
105,10209.2,0.85967,0.54168,0.0135,0.86831,0.81232,0.87273,0.63918,1.14218,0.857,0.0277,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
